"hea_id","cas_id","case_number","ctr_id","courthouse_name","courtroom_name"
129703,125703,"PerfCase_lpecbuohbflkqdjoppfw",30337,"PerfCourtHouse_WijZaUckZx","PerfCourtroom_uklwmemkcyf"
122366,118366,"PerfCase_vijnojyelruojxjhybyy",30153,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_hfwhzyfhtvx"
129576,125576,"PerfCase_ocmcrjmpzpmpyeblxnsl",30310,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_jfeoihwranb"
130111,126111,"PerfCase_pvfepowdkvyiqbjrmagp",30161,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_trtknmmdefe"
122444,118444,"PerfCase_mqfwmorylsgfrwnmxelp",30335,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_ngwrxzpkkze"
133225,129225,"PerfCase_gnynqjezgzpmlgoxkwqg",30258,"PerfCourtHouse_NHGofIJRZM","PerfCourtroom_vwwtvlqqspv"
129594,125594,"PerfCase_bnbuivqihwiohxrlzkjc",30293,"PerfCourtHouse_0diSuLcAU6","PerfCourtroom_pedskwhxjyg"
132721,128721,"PerfCase_fwhxawatcnvfogbljvgw",30311,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_fphsdusorww"
129614,125614,"PerfCase_igpefamectziablsgypr",30275,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_ojsyqyeoyi"
123745,119745,"PerfCase_rbqjnztqgyoufrlmrtyi",30290,"PerfCourtHouse_bEs5ovJuty","PerfCourtroom_dikcxpjgrhj"
132934,128934,"PerfCase_gekzhazavmaqbykimzvf",30152,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_zgjpfrxhnrx"
132911,128911,"PerfCase_isvxiphynghaxuullzlg",30257,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_ocwalaemanp"
129846,125846,"PerfCase_bxnbuwrrzjhihrwpunrn",30194,"PerfCourtHouse_0diSuLcAU6","PerfCourtroom_ikjgzyfbkep"
132954,128954,"PerfCase_mkpqvrjncenklfnidtto",30271,"PerfCourtHouse_WijZaUckZx","PerfCourtroom_djibcwpiint"
130305,126305,"PerfCase_igcjwdvrpvnfftyluluz",30256,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_tcpmquzmcwj"
123110,119110,"PerfCase_gjjtlwfxnbderjswxrct",30262,"PerfCourtHouse_VYOiSlqrEH","PerfCourtroom_kruywwgspkz"
132989,128989,"PerfCase_xcxxpysqbqgozpbborav",30313,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_excqweflbmb"
123211,119191,"PerfCase_ibczobayugfzzswxvfzh",30276,"PerfCourtHouse_bH6uaKvvJE","PerfCourtroom_debsxhuyirs"
123217,119197,"PerfCase_kzuorjimlxdlranuchsa",30130,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_xayhfyzrteu"
132879,128879,"PerfCase_pqreshnkjajkbvsodtfq",30273,"PerfCourtHouse_0diSuLcAU6","PerfCourtroom_admcoelsyhb"
133173,129173,"PerfCase_sxocgbzaofoonwuxizxe",30298,"PerfCourtHouse_srhhOqdHTY","PerfCourtroom_uakgvlxsbev"
129328,125328,"PerfCase_hhefdmyknwjuwotdhbcj",30157,"PerfCourtHouse_rolxQi4Qid","PerfCourtroom_pdwlnmzgzxn"
129940,125940,"PerfCase_ovzookwohyfldcgdinwe",30155,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_fbszppgrcff"
133143,129143,"PerfCase_nwwlyrdzraxdeitguezz",30352,"PerfCourtHouse_wThaFU3Eh3","PerfCourtroom_drpfrrhlswb"
130010,126010,"PerfCase_jzcahqwrvzonptbuagtc",30349,"PerfCourtHouse_wThaFU3Eh3","PerfCourtroom_rllswrisudy"
130022,126022,"PerfCase_ljbeaqopbckyqjyallyq",30198,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_qxnpsimniou"
129724,125724,"PerfCase_hhbmqmhxcncapiozkjxt",30311,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_fphsdusorww"
133371,129371,"PerfCase_sbuockoalnntfrjkyojk",30092,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_odliftxwwsd"
133292,129292,"PerfCase_spjlwiqumesskczapesx",30264,"PerfCourtHouse_srhhOqdHTY","PerfCourtroom_oaragxivria"
133046,129046,"PerfCase_shkvmqbqdydodbqnaxct",30340,"PerfCourtHouse_A52A0v84lC","PerfCourtroom_zvcrjneezgb"
123409,119449,"PerfCase_qyafltdzbgyltembytfo",30356,"PerfCourtHouse_wThaFU3Eh3","PerfCourtroom_ygirzrihech"
130490,126490,"PerfCase_whywlkbeitdzixpvlkya",30198,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_qxnpsimniou"
133341,129341,"PerfCase_lopnkrccywqvsnicqdnv",30333,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_zhbvejndhsq"
129527,125527,"PerfCase_szcbrzvsjzkwylwwvlby",30251,"PerfCourtHouse_WijZaUckZx","PerfCourtroom_cuycblbvylk"
123453,119353,"PerfCase_iakmtsnywuccljxtjvno",30161,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_trtknmmdefe"
129162,125162,"PerfCase_obqfldlbpydwxjwqtfec",30096,"PerfCourtHouse_NHGofIJRZM","PerfCourtroom_wikqekldizr"
130037,126037,"PerfCase_dkktihwiqarfghjxhgpr",30272,"PerfCourtHouse_0diSuLcAU6","PerfCourtroom_aocryycwddv"
123477,119497,"PerfCase_uhhfcrydcdpxkdsulmwd",30190,"PerfCourtHouse_rolxQi4Qid","PerfCourtroom_zxadmvpdotf"
123757,119757,"PerfCase_eamtgssbogbipmltnvki",30313,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_excqweflbmb"
133671,129671,"PerfCase_xmuhaqoijpuwaifszyxt",30229,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_zmcgjfltcez"
133677,129677,"PerfCase_vsolmaquxsceeukvcpcc",30196,"PerfCourtHouse_A52A0v84lC","PerfCourtroom_hrqsnamyzqk"
124121,120121,"PerfCase_efzcfudnxxbsqjzpcype",30170,"PerfCourtHouse_bEs5ovJuty","PerfCourtroom_lffftudznan"
