RUN	DartsApi.AudioPostSimulation	audiopostsimulation	1708510617785	2	3.9.5
USER	Audio Requests:DELETE	START	1708510618267
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708510618265	1708510620934	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708510618244	1708510620974	2669	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510620991	1708510621553	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510621556	1708510623742	OK	 
GROUP	Audio Request Group	1708510620976	1708510623775	2748	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510623776	1708510624192	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510624192	1708510625657	OK	 
GROUP	Audio Request Group	1708510623775	1708510625662	1881	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510625663	1708510626362	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510626363	1708510628459	OK	 
GROUP	Audio Request Group	1708510625662	1708510628461	2795	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510628463	1708510628910	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510628911	1708510631061	OK	 
GROUP	Audio Request Group	1708510628462	1708510631063	2597	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510631065	1708510631451	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510631452	1708510632254	OK	 
GROUP	Audio Request Group	1708510631064	1708510632255	1188	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510632256	1708510632617	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510632617	1708510633378	OK	 
GROUP	Audio Request Group	1708510632255	1708510633380	1122	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510633381	1708510633741	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510633741	1708510634484	OK	 
GROUP	Audio Request Group	1708510633380	1708510634487	1103	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510634489	1708510634978	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510634979	1708510635721	OK	 
GROUP	Audio Request Group	1708510634487	1708510635722	1231	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510635724	1708510636096	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510636097	1708510636639	OK	 
GROUP	Audio Request Group	1708510635723	1708510636643	914	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510636644	1708510637028	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510637028	1708510637783	OK	 
GROUP	Audio Request Group	1708510636643	1708510637784	1139	OK
USER	Audio Requests:DELETE	END	1708510637786
