trm_id,mer_id,hea_id,request_status,request_type
8607,24626,1270498,COMPLETED,DOWNLOAD
8606,24743,1186438,COMPLETED,DOWNLOAD
8605,24686,1259697,COMPLETED,DOWNLOAD
8604,25062,1248083,COMPLETED,DOWNLOAD
8602,24924,1259116,COMPLETED,DOWNLOAD
8601,24823,1209672,COMPLETED,DOWNLOAD
8599,24547,1246666,COMPLETED,DOWNLOAD
8597,24843,1138871,COMPLETED,DOWNLOAD
8595,24605,1157384,COMPLETED,DOWNLOAD
8593,24527,1151445,COMPLETED,DOWNLOAD
8591,24563,1126020,COMPLETED,DOWNLOAD
8589,24625,1040969,COMPLETED,DOWNLOAD
8588,24902,1017094,COMPLETED,DOWNLOAD
8587,24863,997510,COMPLETED,DOWNLOAD
8585,25081,1051277,COMPLETED,DOWNLOAD
8583,25022,920602,COMPLETED,DOWNLOAD
8582,24546,1002398,COMPLETED,DOWNLOAD
8581,24646,999016,COMPLETED,DOWNLOAD
8580,24526,922580,COMPLETED,DOWNLOAD
8577,24982,867068,COMPLETED,DOWNLOAD
8575,24923,819068,COMPLETED,DOWNLOAD
8573,24645,827678,COMPLETED,DOWNLOAD
8572,24782,782532,COMPLETED,DOWNLOAD
8571,24942,786342,COMPLETED,DOWNLOAD
8570,24502,798879,COMPLETED,DOWNLOAD
8567,24684,797052,COMPLETED,DOWNLOAD
8563,24624,768412,COMPLETED,DOWNLOAD
8562,24702,748888,COMPLETED,DOWNLOAD
8561,24742,676745,COMPLETED,DOWNLOAD
8560,24525,737489,COMPLETED,DOWNLOAD
8559,24822,673286,COMPLETED,DOWNLOAD
8558,24862,669961,COMPLETED,DOWNLOAD
8557,24623,698797,COMPLETED,DOWNLOAD
8555,24545,736196,COMPLETED,DOWNLOAD
8554,24644,674351,COMPLETED,DOWNLOAD
8552,24922,601295,COMPLETED,DOWNLOAD
8551,24524,678399,COMPLETED,DOWNLOAD
8549,25061,566563,COMPLETED,DOWNLOAD
8547,25041,577338,COMPLETED,DOWNLOAD
8545,24683,607995,COMPLETED,DOWNLOAD
8544,24544,601513,COMPLETED,DOWNLOAD
8542,24622,592362,COMPLETED,DOWNLOAD
8541,24981,496637,COMPLETED,DOWNLOAD
8540,24961,437631,COMPLETED,DOWNLOAD
8538,24643,544023,COMPLETED,DOWNLOAD
8536,24543,536364,COMPLETED,DOWNLOAD
8535,24722,518023,COMPLETED,DOWNLOAD
8533,24682,489591,COMPLETED,DOWNLOAD
8532,24602,462710,COMPLETED,DOWNLOAD
8531,24921,425006,COMPLETED,DOWNLOAD
8530,24901,411252,COMPLETED,DOWNLOAD
8528,24642,426013,COMPLETED,DOWNLOAD
8527,24522,416823,COMPLETED,DOWNLOAD
8526,24542,405887,COMPLETED,DOWNLOAD
8525,24861,230419,COMPLETED,DOWNLOAD
8523,24841,183643,COMPLETED,DOWNLOAD
8522,24741,189517,COMPLETED,DOWNLOAD
8521,24821,181180,COMPLETED,DOWNLOAD
8520,24801,359098,COMPLETED,DOWNLOAD
8518,24761,160629,COMPLETED,DOWNLOAD
8517,24661,159941,COMPLETED,DOWNLOAD
8516,24701,185530,COMPLETED,DOWNLOAD
8515,24681,236772,COMPLETED,DOWNLOAD
8514,24641,280901,COMPLETED,DOWNLOAD
8456,24344,2609617,COMPLETED,DOWNLOAD
8454,24405,2587866,COMPLETED,DOWNLOAD
8453,23652,2568730,COMPLETED,DOWNLOAD
8452,23839,2550107,COMPLETED,DOWNLOAD
8451,24066,2561392,COMPLETED,DOWNLOAD
8450,24164,2545837,COMPLETED,DOWNLOAD
8449,24205,2532110,COMPLETED,DOWNLOAD
8447,24031,2540509,COMPLETED,DOWNLOAD
8446,24461,2517195,COMPLETED,DOWNLOAD
8445,24003,2511847,COMPLETED,DOWNLOAD
8444,23907,2516524,COMPLETED,DOWNLOAD
8442,23691,2495707,COMPLETED,DOWNLOAD
8441,24343,2480478,COMPLETED,DOWNLOAD
8440,24183,2414260,COMPLETED,DOWNLOAD
8439,24263,2412478,COMPLETED,DOWNLOAD
8438,23906,2412980,COMPLETED,DOWNLOAD
8437,24083,2397800,COMPLETED,DOWNLOAD
8436,24323,2376756,COMPLETED,DOWNLOAD
8435,24182,2388168,COMPLETED,DOWNLOAD
8434,23791,2342848,COMPLETED,DOWNLOAD
8433,24403,2374418,COMPLETED,DOWNLOAD
8432,24065,2360859,COMPLETED,DOWNLOAD
8431,23690,2337592,COMPLETED,DOWNLOAD
8430,23868,2337126,COMPLETED,DOWNLOAD
8429,24204,2283187,COMPLETED,DOWNLOAD
8428,23704,2289741,COMPLETED,DOWNLOAD
8427,23905,2286170,COMPLETED,DOWNLOAD
8162,23409,1502747,COMPLETED,DOWNLOAD
8159,23524,1499547,COMPLETED,DOWNLOAD
8158,23564,1486319,COMPLETED,DOWNLOAD
8157,23465,1478088,COMPLETED,DOWNLOAD
8156,23150,1461772,COMPLETED,DOWNLOAD
8155,23348,1452695,COMPLETED,DOWNLOAD
8152,23112,1449150,COMPLETED,DOWNLOAD
8151,23386,1396391,COMPLETED,DOWNLOAD
8150,23464,1382323,COMPLETED,DOWNLOAD
8149,23166,1383716,COMPLETED,DOWNLOAD
8148,23309,1371609,COMPLETED,DOWNLOAD
8147,23285,1375103,COMPLETED,DOWNLOAD
8145,23523,1351571,COMPLETED,DOWNLOAD
8143,23227,1342372,COMPLETED,DOWNLOAD
8142,23249,1336687,COMPLETED,DOWNLOAD
8141,23487,1348635,COMPLETED,DOWNLOAD
8139,23149,1334002,COMPLETED,DOWNLOAD
8138,23265,1310023,COMPLETED,DOWNLOAD
8137,23385,1317105,COMPLETED,DOWNLOAD
8136,23111,1329002,COMPLETED,DOWNLOAD
8135,23165,1307877,COMPLETED,DOWNLOAD
8134,23325,1297483,COMPLETED,DOWNLOAD
8133,23502,1285605,COMPLETED,DOWNLOAD
8131,23407,1280702,COMPLETED,DOWNLOAD
8130,23110,1255816,COMPLETED,DOWNLOAD
8127,23563,1255370,COMPLETED,DOWNLOAD
8126,23308,1267930,COMPLETED,DOWNLOAD
8125,23486,1230362,COMPLETED,DOWNLOAD
8123,23109,1229828,COMPLETED,DOWNLOAD
