RUN	DartsApi.AudioPostSimulation	audiopostsimulation	1708512042884	2	3.9.5
USER	Audio Requests:DELETE	START	1708512043968
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708512043967	1708512046020	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708512043954	1708512046059	2053	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512046073	1708512048296	OK	 
GROUP	Audio Request Group	1708512046061	1708512048299	2223	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512048302	1708512049023	OK	 
GROUP	Audio Request Group	1708512048299	1708512049024	721	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512049025	1708512049577	OK	 
GROUP	Audio Request Group	1708512049024	1708512049577	552	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512049579	1708512052805	OK	 
GROUP	Audio Request Group	1708512049578	1708512052805	3226	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512052807	1708512056070	OK	 
GROUP	Audio Request Group	1708512052806	1708512056070	3263	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512056072	1708512056996	OK	 
GROUP	Audio Request Group	1708512056071	1708512056996	924	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512056998	1708512057523	OK	 
GROUP	Audio Request Group	1708512056997	1708512057524	525	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512057527	1708512058009	OK	 
GROUP	Audio Request Group	1708512057525	1708512058009	482	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512058011	1708512058474	OK	 
GROUP	Audio Request Group	1708512058009	1708512058474	463	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708512058476	1708512058976	OK	 
GROUP	Audio Request Group	1708512058475	1708512058976	500	OK
USER	Audio Requests:DELETE	END	1708512058979
