RUN	DartsApi.CourthousePostSimulation	courthousepostsimulation	1709559482891	1	3.9.5
USER	Courthouse:POST	START	1709559484035
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559484055	1709559484781	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559484785	1709559485317	OK	 
GROUP	Courthouse Api Request Group	1709559484033	1709559485356	1258	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559485361	1709559485438	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559485441	1709559485626	OK	 
GROUP	Courthouse Api Request Group	1709559485357	1709559485629	262	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559485632	1709559485675	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559485675	1709559485834	OK	 
GROUP	Courthouse Api Request Group	1709559485629	1709559485837	202	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559485840	1709559485916	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559485916	1709559486137	OK	 
GROUP	Courthouse Api Request Group	1709559485837	1709559486138	297	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559486142	1709559486188	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559486189	1709559486308	OK	 
GROUP	Courthouse Api Request Group	1709559486139	1709559486309	165	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559486313	1709559486363	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559486364	1709559486513	OK	 
GROUP	Courthouse Api Request Group	1709559486310	1709559486515	199	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559486517	1709559486616	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559486616	1709559486734	OK	 
GROUP	Courthouse Api Request Group	1709559486515	1709559486735	217	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559486738	1709559486782	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559486783	1709559486907	OK	 
GROUP	Courthouse Api Request Group	1709559486736	1709559486908	168	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559486911	1709559486956	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559486956	1709559487107	OK	 
GROUP	Courthouse Api Request Group	1709559486908	1709559487109	196	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559487114	1709559487158	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559487158	1709559487315	OK	 
GROUP	Courthouse Api Request Group	1709559487109	1709559487318	201	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559487323	1709559487368	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559487368	1709559487491	OK	 
GROUP	Courthouse Api Request Group	1709559487320	1709559487492	168	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559487496	1709559487539	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559487539	1709559487693	OK	 
GROUP	Courthouse Api Request Group	1709559487492	1709559487694	197	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559487697	1709559487766	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559487767	1709559487896	OK	 
GROUP	Courthouse Api Request Group	1709559487695	1709559487898	198	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559487901	1709559487969	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559487969	1709559488086	OK	 
GROUP	Courthouse Api Request Group	1709559487898	1709559488087	185	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559488090	1709559488143	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559488143	1709559488257	OK	 
GROUP	Courthouse Api Request Group	1709559488088	1709559488258	167	OK
USER	Courthouse:POST	END	1709559488260
