RUN	DartsApi.AudioRequestSimulation	audiorequestsimulation	1708092569383	2	3.9.5
USER	Test1	START	1708092570005
REQUEST	TestDARTS - Api - Token:GET	DARTS - Api - Token:GET	1708092570002	1708092570464	OK	 
GROUP	TestDARTS - Api - Token:GET	1708092569980	1708092570510	462	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092570518	1708092570809	OK	 
GROUP	Audio Request Group	1708092570513	1708092570810	291	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092570812	1708092570977	OK	 
GROUP	Audio Request Group	1708092570811	1708092570977	165	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092570978	1708092571174	OK	 
GROUP	Audio Request Group	1708092570978	1708092571175	196	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092571177	1708092571294	OK	 
GROUP	Audio Request Group	1708092571175	1708092571295	117	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092571296	1708092571429	OK	 
GROUP	Audio Request Group	1708092571295	1708092571429	133	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092571431	1708092571583	OK	 
GROUP	Audio Request Group	1708092571430	1708092571583	152	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092571584	1708092571762	OK	 
GROUP	Audio Request Group	1708092571584	1708092571763	178	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092571766	1708092571895	OK	 
GROUP	Audio Request Group	1708092571764	1708092571896	129	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092571898	1708092572012	OK	 
GROUP	Audio Request Group	1708092571897	1708092572012	114	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708092572013	1708092572133	OK	 
GROUP	Audio Request Group	1708092572012	1708092572134	120	OK
USER	Test1	END	1708092572136
