RUN	DartsApi.CourthousePostSimulation	courthousepostsimulation	1709559102759	8	3.9.5
USER	Courthouse:POST	START	1709559104230
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559104258	1709559105444	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559105449	1709559105888	OK	 
GROUP	Courthouse Api Request Group	1709559104228	1709559105929	1625	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559105936	1709559106094	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559106095	1709559107603	OK	 
GROUP	Courthouse Api Request Group	1709559105930	1709559107605	1666	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559107609	1709559107680	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559107680	1709559107916	OK	 
GROUP	Courthouse Api Request Group	1709559107605	1709559107917	307	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559107920	1709559107964	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559107964	1709559108208	OK	 
GROUP	Courthouse Api Request Group	1709559107917	1709559108210	288	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559108213	1709559108262	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559108263	1709559108442	OK	 
GROUP	Courthouse Api Request Group	1709559108210	1709559108444	228	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559108447	1709559108500	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559108500	1709559108686	OK	 
GROUP	Courthouse Api Request Group	1709559108444	1709559108687	239	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559108690	1709559108792	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559108793	1709559108993	OK	 
GROUP	Courthouse Api Request Group	1709559108688	1709559108994	302	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559108997	1709559109078	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559109078	1709559109270	OK	 
GROUP	Courthouse Api Request Group	1709559108994	1709559109271	273	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559109274	1709559109320	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559109320	1709559109486	OK	 
GROUP	Courthouse Api Request Group	1709559109272	1709559109487	212	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559109490	1709559109578	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559109578	1709559109704	OK	 
GROUP	Courthouse Api Request Group	1709559109487	1709559109705	214	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559109708	1709559109788	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559109789	1709559109915	OK	 
GROUP	Courthouse Api Request Group	1709559109706	1709559109917	206	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559109920	1709559109995	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559109995	1709559110159	OK	 
GROUP	Courthouse Api Request Group	1709559109917	1709559110160	239	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559110163	1709559110233	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559110233	1709559110363	OK	 
GROUP	Courthouse Api Request Group	1709559110161	1709559110364	200	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559110367	1709559110437	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559110437	1709559110573	OK	 
GROUP	Courthouse Api Request Group	1709559110364	1709559110575	206	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709559110578	1709559110649	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709559110649	1709559110779	OK	 
GROUP	Courthouse Api Request Group	1709559110576	1709559110780	201	OK
USER	Courthouse:POST	END	1709559110784
