RUN	DartsSoap.AddDocumentSOAPUserSimulation	adddocumentsoapusersimulation	1709734818695	1	3.9.5
USER	DARTS - GateWay - Soap - AddDocument:POST	START	1709734820012
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734820982	1709734822050	OK	 
GROUP	AddDocument SOAP Request Group	1709734820015	1709734822292	1068	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734822295	1709734822969	OK	 
GROUP	AddDocument SOAP Request Group	1709734822293	1709734822971	674	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734822972	1709734825505	OK	 
GROUP	AddDocument SOAP Request Group	1709734822971	1709734825508	2533	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734825509	1709734826843	OK	 
GROUP	AddDocument SOAP Request Group	1709734825508	1709734826844	1334	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734826846	1709734828200	OK	 
GROUP	AddDocument SOAP Request Group	1709734826845	1709734828204	1354	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734828206	1709734828702	OK	 
GROUP	AddDocument SOAP Request Group	1709734828205	1709734828704	496	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734828706	1709734829233	OK	 
GROUP	AddDocument SOAP Request Group	1709734828705	1709734829235	527	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734829237	1709734831257	OK	 
GROUP	AddDocument SOAP Request Group	1709734829235	1709734831258	2020	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734831261	1709734831744	OK	 
GROUP	AddDocument SOAP Request Group	1709734831259	1709734831747	483	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709734831750	1709734832173	OK	 
GROUP	AddDocument SOAP Request Group	1709734831748	1709734832174	423	OK
USER	DARTS - GateWay - Soap - AddDocument:POST	END	1709734832176
