RUN	DartsSoap.AddDocumentSOAPUserSimulation	adddocumentsoapusersimulation	1709199545501	15	3.9.5
USER	DARTS - GateWay - Soap - AddDocument:POST	START	1709199546601
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199546633	1709199547437	OK	 
GROUP	AddDocument SOAP Request Group	1709199546604	1709199547787	804	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199547792	1709199548363	OK	 
GROUP	AddDocument SOAP Request Group	1709199547788	1709199548368	571	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199548370	1709199548841	OK	 
GROUP	AddDocument SOAP Request Group	1709199548368	1709199548843	471	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199548845	1709199549405	OK	 
GROUP	AddDocument SOAP Request Group	1709199548844	1709199549408	560	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199549409	1709199549782	OK	 
GROUP	AddDocument SOAP Request Group	1709199549408	1709199549783	373	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199549784	1709199550227	OK	 
GROUP	AddDocument SOAP Request Group	1709199549783	1709199550229	443	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199550230	1709199550604	OK	 
GROUP	AddDocument SOAP Request Group	1709199550229	1709199550605	374	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199550606	1709199551002	OK	 
GROUP	AddDocument SOAP Request Group	1709199550606	1709199551005	396	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199551006	1709199551379	OK	 
GROUP	AddDocument SOAP Request Group	1709199551006	1709199551380	373	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709199551382	1709199551745	OK	 
GROUP	AddDocument SOAP Request Group	1709199551381	1709199551746	363	OK
USER	DARTS - GateWay - Soap - AddDocument:POST	END	1709199551748
