RUN	DartsApi.AudioRequestGetSimulation	audiorequestgetsimulation	1708338336992	4	3.9.5
USER	Audio Requests:POST	START	1708338337650
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708338337649	1708338338116	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708338337634	1708338338167	467	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338173	1708338338327	OK	 
GROUP	Audio Request Get	1708338338169	1708338338330	154	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338332	1708338338374	OK	 
GROUP	Audio Request Get	1708338338330	1708338338374	42	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338375	1708338338419	OK	 
GROUP	Audio Request Get	1708338338375	1708338338419	44	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338420	1708338338452	OK	 
GROUP	Audio Request Get	1708338338420	1708338338453	32	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338454	1708338338493	OK	 
GROUP	Audio Request Get	1708338338453	1708338338494	39	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338495	1708338338530	OK	 
GROUP	Audio Request Get	1708338338494	1708338338530	35	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338531	1708338338564	OK	 
GROUP	Audio Request Get	1708338338530	1708338338564	33	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338565	1708338338596	OK	 
GROUP	Audio Request Get	1708338338564	1708338338596	31	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338597	1708338338640	OK	 
GROUP	Audio Request Get	1708338338597	1708338338641	43	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708338338642	1708338338674	OK	 
GROUP	Audio Request Get	1708338338641	1708338338674	32	OK
USER	Audio Requests:POST	END	1708338338677
