RUN	DartsApi.AudioRequestGetSimulation	audiorequestgetsimulation	1708336034439	2	3.9.5
USER	Audio Requests:POST	START	1708336035000
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708336034998	1708336035415	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708336034976	1708336035460	417	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035466	1708336035551	OK	 
GROUP	Audio Request Get	1708336035462	1708336035553	85	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035555	1708336035585	OK	 
GROUP	Audio Request Get	1708336035554	1708336035585	30	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035586	1708336035637	OK	 
GROUP	Audio Request Get	1708336035585	1708336035638	51	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035640	1708336035686	OK	 
GROUP	Audio Request Get	1708336035639	1708336035687	46	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035687	1708336035716	OK	 
GROUP	Audio Request Get	1708336035687	1708336035716	29	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035717	1708336035749	OK	 
GROUP	Audio Request Get	1708336035716	1708336035749	32	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035751	1708336035783	OK	 
GROUP	Audio Request Get	1708336035750	1708336035783	32	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035784	1708336035815	OK	 
GROUP	Audio Request Get	1708336035783	1708336035815	31	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035817	1708336035879	OK	 
GROUP	Audio Request Get	1708336035816	1708336035880	62	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708336035882	1708336035923	OK	 
GROUP	Audio Request Get	1708336035880	1708336035923	41	OK
USER	Audio Requests:POST	END	1708336035929
