RUN	DartsApi.AudioRequestSimulation	audiorequestsimulation	1708076987227	2	3.9.5
USER	Test1	START	1708076987934
REQUEST	TestDARTS - Api - Token:GET	DARTS - Api - Token:GET	1708076987933	1708076988975	OK	 
GROUP	TestDARTS - Api - Token:GET	1708076987920	1708076989013	1042	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989018	1708076989414	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989015	1708076989416	396	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989417	1708076989487	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989416	1708076989487	70	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989488	1708076989585	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989487	1708076989585	97	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989586	1708076989662	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989586	1708076989663	76	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989664	1708076989733	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989663	1708076989733	69	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989735	1708076989806	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989734	1708076989806	71	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989807	1708076989874	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989807	1708076989876	67	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989878	1708076989942	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989877	1708076989943	64	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076989945	1708076990012	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076989944	1708076990013	67	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076990014	1708076990063	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076990013	1708076990063	49	OK
USER	Test1	END	1708076990068
