RUN	DartsApi.AudioRequestSimulation	audiorequestsimulation	1708076081770	2	3.9.5
USER	Test1	START	1708076082532
REQUEST	TestDARTS - Api - Token:GET	DARTS - Api - Token:GET	1708076082546	1708076083087	OK	 
GROUP	TestDARTS - Api - Token:GET	1708076082533	1708076083124	541	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083128	1708076083487	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083125	1708076083489	359	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083490	1708076083536	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083489	1708076083536	46	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083536	1708076083679	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083536	1708076083680	143	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083681	1708076083727	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083680	1708076083728	46	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083728	1708076083771	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083728	1708076083771	43	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083772	1708076083812	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083772	1708076083812	40	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083813	1708076083860	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083812	1708076083860	47	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083861	1708076083903	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083860	1708076083903	42	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083904	1708076083941	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083903	1708076083941	37	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708076083941	1708076083975	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708076083941	1708076083976	34	OK
USER	Test1	END	1708076083978
