RUN	DartsSoap.AddDocumentSOAPTokenSimulation	adddocumentsoaptokensimulation	1709198231418	14	3.9.5
USER	DARTS - GateWay - Soap - AddDocument:POST	START	1709198232633
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198232652	1709198233756	OK	 
GROUP	Register With Username SOAP Request Group	1709198232637	1709198233775	1104	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198233787	1709198234016	OK	 
GROUP	AddDocument SOAP Request Group	1709198233777	1709198234281	229	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198234281	1709198235082	OK	 
GROUP	Register With Username SOAP Request Group	1709198234281	1709198235084	801	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198235087	1709198235272	OK	 
GROUP	AddDocument SOAP Request Group	1709198235085	1709198235275	185	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198235277	1709198236003	OK	 
GROUP	Register With Username SOAP Request Group	1709198235276	1709198236006	726	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198236008	1709198236165	OK	 
GROUP	AddDocument SOAP Request Group	1709198236006	1709198236172	157	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198236175	1709198236814	OK	 
GROUP	Register With Username SOAP Request Group	1709198236173	1709198236815	639	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198236816	1709198236969	OK	 
GROUP	AddDocument SOAP Request Group	1709198236815	1709198236970	153	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198236971	1709198238657	OK	 
GROUP	Register With Username SOAP Request Group	1709198236971	1709198238658	1686	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198238660	1709198238803	OK	 
GROUP	AddDocument SOAP Request Group	1709198238658	1709198238804	143	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198238805	1709198239560	OK	 
GROUP	Register With Username SOAP Request Group	1709198238805	1709198239562	755	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198239565	1709198239747	OK	 
GROUP	AddDocument SOAP Request Group	1709198239563	1709198239748	182	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198239749	1709198240500	OK	 
GROUP	Register With Username SOAP Request Group	1709198239748	1709198240501	751	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198240502	1709198240657	OK	 
GROUP	AddDocument SOAP Request Group	1709198240501	1709198240659	155	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198240660	1709198241273	OK	 
GROUP	Register With Username SOAP Request Group	1709198240660	1709198241274	613	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198241275	1709198241427	OK	 
GROUP	AddDocument SOAP Request Group	1709198241274	1709198241428	152	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198241429	1709198242029	OK	 
GROUP	Register With Username SOAP Request Group	1709198241429	1709198242030	600	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198242031	1709198242211	OK	 
GROUP	AddDocument SOAP Request Group	1709198242030	1709198242213	180	OK
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198242214	1709198242983	OK	 
GROUP	Register With Username SOAP Request Group	1709198242213	1709198242983	769	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198242984	1709198243171	OK	 
GROUP	AddDocument SOAP Request Group	1709198242983	1709198243172	187	OK
USER	DARTS - GateWay - Soap - AddDocument:POST	END	1709198243174
