cth_id,courtroom_name,courthouse_name,CourtHouseCode,CourtHouseType
22812,PerfCourtroom_ykzfqpdqade,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_rllswrisudy,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_btcrimwcrsc,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_ryqcvzialyc,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_drpfrrhlswb,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_hpskezotezy,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_rpuwpvjuxw,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_ltienrxqtox,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22812,PerfCourtroom_ygirzrihech,PerfCourtHouse_wThaFU3Eh3,2,Crown Court
22832,PerfCourtroom_phdfoeazrwr,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22832,PerfCourtroom_fbszppgrcff,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22832,PerfCourtroom_xjammnxojmb,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22832,PerfCourtroom_trtknmmdefe,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22832,PerfCourtroom_bzmtcxyjhae,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22832,PerfCourtroom_zmcgjfltcez,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22832,PerfCourtroom_nxmycqnjjcj,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22832,PerfCourtroom_vyhqvzepzyl,PerfCourtHouse_VsbQmeCUqK,3,Crown Court
22813,PerfCourtroom_iezoedpdqwc,PerfCourtHouse_bH6uaKvvJE,4,Crown Court
22813,PerfCourtroom_rfiuqoraqkm,PerfCourtHouse_bH6uaKvvJE,4,Crown Court
22813,PerfCourtroom_ihwatyrubna,PerfCourtHouse_bH6uaKvvJE,4,Crown Court
22813,PerfCourtroom_qbycbvwabd,PerfCourtHouse_bH6uaKvvJE,4,Crown Court
22813,PerfCourtroom_debsxhuyirs,PerfCourtHouse_bH6uaKvvJE,4,Crown Court
22813,PerfCourtroom_jwbpoqcosd,PerfCourtHouse_bH6uaKvvJE,4,Crown Court
22852,PerfCourtroom_zgjpfrxhnrx,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_tcsicifonrq,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_nnbhjwkoync,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_qxnpsimniou,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_enuobmojtva,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_qpsqibsvxbe,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_excqweflbmb,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_zhbvejndhsq,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22852,PerfCourtroom_ngwrxzpkkze,PerfCourtHouse_nQZcqGM0G1,5,Crown Court
22814,PerfCourtroom_rtmlhoxfcbs,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_pcbyufqjkcg,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_cugqxlxfexo,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_pdwlnmzgzxn,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_dmlxeutvifc,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_kpthdpablbe,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_zxadmvpdotf,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_uxqohsukidk,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_ysreoaciaxc,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_wykgahfswmc,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22814,PerfCourtroom_efwjbuedque,PerfCourtHouse_rolxQi4Qid,6,Crown Court
22833,PerfCourtroom_ikjgzyfbkep,PerfCourtHouse_0diSuLcAU6,7,Crown Court
22833,PerfCourtroom_qspkamfemjr,PerfCourtHouse_0diSuLcAU6,7,Crown Court
22833,PerfCourtroom_aocryycwddv,PerfCourtHouse_0diSuLcAU6,7,Crown Court
22833,PerfCourtroom_admcoelsyhb,PerfCourtHouse_0diSuLcAU6,7,Crown Court
22833,PerfCourtroom_pedskwhxjyg,PerfCourtHouse_0diSuLcAU6,7,Crown Court
22833,PerfCourtroom_kxqrofjvlsz,PerfCourtHouse_0diSuLcAU6,7,Crown Court
22815,PerfCourtroom_huymihnoziy,PerfCourtHouse_VYOiSlqrEH,8,Crown Court
22815,PerfCourtroom_jhxdbwyilno,PerfCourtHouse_VYOiSlqrEH,8,Crown Court
22815,PerfCourtroom_vlmmeiolbfn,PerfCourtHouse_VYOiSlqrEH,8,Crown Court
22815,PerfCourtroom_uhaguaqsfcl,PerfCourtHouse_VYOiSlqrEH,8,Crown Court
22815,PerfCourtroom_kruywwgspkz,PerfCourtHouse_VYOiSlqrEH,8,Crown Court
22815,PerfCourtroom_nngjtzwdtes,PerfCourtHouse_VYOiSlqrEH,8,Crown Court
22815,PerfCourtroom_kattkyksnfw,PerfCourtHouse_VYOiSlqrEH,8,Crown Court
22816,PerfCourtroom_yroxyvuwyhp,PerfCourtHouse_WijZaUckZx,10,Crown Court
22816,PerfCourtroom_njkngltiicl,PerfCourtHouse_WijZaUckZx,10,Crown Court
22816,PerfCourtroom_epjjngxvqxp,PerfCourtHouse_WijZaUckZx,10,Crown Court
22816,PerfCourtroom_cuycblbvylk,PerfCourtHouse_WijZaUckZx,10,Crown Court
22816,PerfCourtroom_djibcwpiint,PerfCourtHouse_WijZaUckZx,10,Crown Court
22816,PerfCourtroom_uklwmemkcyf,PerfCourtHouse_WijZaUckZx,10,Crown Court
22816,PerfCourtroom_btdqghsatlx,PerfCourtHouse_WijZaUckZx,10,Crown Court
22834,PerfCourtroom_qsfitpdskjg,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_odliftxwwsd,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_arvznmymgyp,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_dbgjunglzcp,PerfCourtHouse_EX0O95jeAU,11,Crown Court
