RUN	DartsApi.AudioRequestGetSimulation	audiorequestgetsimulation	1708335315161	2	3.9.5
USER	Audio Requests:POST	START	1708335315654
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708335315653	1708335316420	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708335315637	1708335316520	767	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316537	1708335316682	OK	 
GROUP	Audio Request Get	1708335316528	1708335316684	145	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316686	1708335316739	OK	 
GROUP	Audio Request Get	1708335316685	1708335316739	53	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316741	1708335316784	OK	 
GROUP	Audio Request Get	1708335316740	1708335316784	43	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316785	1708335316838	OK	 
GROUP	Audio Request Get	1708335316785	1708335316839	53	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316840	1708335316881	OK	 
GROUP	Audio Request Get	1708335316839	1708335316881	41	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316882	1708335316921	OK	 
GROUP	Audio Request Get	1708335316882	1708335316922	39	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316923	1708335316967	OK	 
GROUP	Audio Request Get	1708335316922	1708335316967	44	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335316968	1708335317013	OK	 
GROUP	Audio Request Get	1708335316967	1708335317013	45	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335317014	1708335317047	OK	 
GROUP	Audio Request Get	1708335317014	1708335317048	33	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335317050	1708335317103	OK	 
GROUP	Audio Request Get	1708335317049	1708335317104	53	OK
USER	Audio Requests:POST	END	1708335317115
