RUN	DartsSoap.AddDocumentSOAPUserSimulation	adddocumentsoapusersimulation	1708100146983	2	3.9.5
USER	DARTS - GateWay - Soap - AddDocument :POST	START	1708100147462
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100147495	1708100147959	OK	 
GROUP	AddDocument SOAP Request Group	1708100147466	1708100148237	464	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100148240	1708100148615	OK	 
GROUP	AddDocument SOAP Request Group	1708100148238	1708100148617	375	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100148618	1708100149038	OK	 
GROUP	AddDocument SOAP Request Group	1708100148617	1708100149040	420	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100149042	1708100149424	OK	 
GROUP	AddDocument SOAP Request Group	1708100149040	1708100149425	382	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100149426	1708100149816	OK	 
GROUP	AddDocument SOAP Request Group	1708100149426	1708100149817	390	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100149819	1708100150157	OK	 
GROUP	AddDocument SOAP Request Group	1708100149818	1708100150158	338	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100150159	1708100150623	OK	 
GROUP	AddDocument SOAP Request Group	1708100150159	1708100150625	464	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100150627	1708100151059	OK	 
GROUP	AddDocument SOAP Request Group	1708100150626	1708100151062	432	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100151063	1708100151415	OK	 
GROUP	AddDocument SOAP Request Group	1708100151062	1708100151417	352	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1708100151418	1708100151844	OK	 
GROUP	AddDocument SOAP Request Group	1708100151417	1708100151846	426	OK
USER	DARTS - GateWay - Soap - AddDocument :POST	END	1708100151849
