cth_id,courtroom_name,courthouse_name
22812,PerfCourtroom_ykzfqpdqademypw,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_rllswrisudypxzo,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_btcrimwcrscuihq,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_ryqcvzialycrxzh,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_drpfrrhlswboamn,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_hpskezotezyvefe,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_rpuwpvjuxwexfiv,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_ltienrxqtoxovdm,PerfCourtHouse_wThaFU3Eh3
22812,PerfCourtroom_ygirzrihechephb,PerfCourtHouse_wThaFU3Eh3
22832,PerfCourtroom_phdfoeazrwrfven,PerfCourtHouse_VsbQmeCUqK
22832,PerfCourtroom_fbszppgrcffnpfh,PerfCourtHouse_VsbQmeCUqK
22832,PerfCourtroom_xjammnxojmbohad,PerfCourtHouse_VsbQmeCUqK
22832,PerfCourtroom_trtknmmdefenkrv,PerfCourtHouse_VsbQmeCUqK
22832,PerfCourtroom_bzmtcxyjhaeniyx,PerfCourtHouse_VsbQmeCUqK
22832,PerfCourtroom_zmcgjfltcezomin,PerfCourtHouse_VsbQmeCUqK
22832,PerfCourtroom_nxmycqnjjcjdsif,PerfCourtHouse_VsbQmeCUqK
22832,PerfCourtroom_vyhqvzepzylsccb,PerfCourtHouse_VsbQmeCUqK
22813,PerfCourtroom_iezoedpdqwcsklo,PerfCourtHouse_bH6uaKvvJE
22813,PerfCourtroom_jwbpoqcosdwurpv,PerfCourtHouse_bH6uaKvvJE
22813,PerfCourtroom_rfiuqoraqkmfuue,PerfCourtHouse_bH6uaKvvJE
22813,PerfCourtroom_ihwatyrubnaflno,PerfCourtHouse_bH6uaKvvJE
