RUN	DartsApi.AudioGETPreviewSimulation	audiogetpreviewsimulation	1708956371918	0	3.9.5
USER	Audio Requests:GET Preview	START	1708956372621
USER	Audio Requests:GET Preview	START	1708956372703
USER	Audio Requests:GET Preview	START	1708956372814
USER	Audio Requests:GET Preview	START	1708956372907
USER	Audio Requests:GET Preview	START	1708956373001
USER	Audio Requests:GET Preview	START	1708956373108
USER	Audio Requests:GET Preview	START	1708956373200
USER	Audio Requests:GET Preview	START	1708956373308
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956372703	1708956373356	OK	 
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956372620	1708956373348	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956372605	1708956373398	728	OK
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956372702	1708956373400	653	OK
USER	Audio Requests:GET Preview	START	1708956373402
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956372813	1708956373430	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956372812	1708956373432	617	OK
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956372906	1708956373470	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956372905	1708956373471	564	OK
USER	Audio Requests:GET Preview	START	1708956373510
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956372999	1708956373590	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956372999	1708956373591	591	OK
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956373308	1708956373814	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956373308	1708956373815	506	OK
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956373106	1708956373832	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956373106	1708956373833	726	OK
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956373199	1708956373853	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956373199	1708956373854	654	OK
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956373401	1708956374098	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956373401	1708956374099	697	OK
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708956373509	1708956374108	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708956373509	1708956374110	599	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373432	1708956374437	OK	 
GROUP	Audio Get Preview	1708956373432	1708956374440	1005	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373472	1708956374531	OK	 
GROUP	Audio Get Preview	1708956373471	1708956374532	1059	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373407	1708956374743	OK	 
GROUP	Audio Get Preview	1708956373400	1708956374743	1336	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373407	1708956374825	OK	 
GROUP	Audio Get Preview	1708956373400	1708956374826	1418	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373855	1708956375022	OK	 
GROUP	Audio Get Preview	1708956373855	1708956375022	1167	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956374110	1708956375105	OK	 
GROUP	Audio Get Preview	1708956374110	1708956375106	995	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373591	1708956375158	OK	 
GROUP	Audio Get Preview	1708956373591	1708956375158	1567	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373834	1708956375216	OK	 
GROUP	Audio Get Preview	1708956373834	1708956375216	1382	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956374532	1708956375360	OK	 
GROUP	Audio Get Preview	1708956374532	1708956375360	828	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956374444	1708956375508	OK	 
GROUP	Audio Get Preview	1708956374441	1708956375508	1064	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956374746	1708956375634	OK	 
GROUP	Audio Get Preview	1708956374744	1708956375634	888	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956373816	1708956375708	OK	 
GROUP	Audio Get Preview	1708956373816	1708956375708	1892	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956375159	1708956375950	OK	 
GROUP	Audio Get Preview	1708956375159	1708956375950	791	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956374100	1708956376032	OK	 
GROUP	Audio Get Preview	1708956374099	1708956376033	1932	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956375023	1708956376056	OK	 
GROUP	Audio Get Preview	1708956375023	1708956376057	1033	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956375107	1708956376176	OK	 
GROUP	Audio Get Preview	1708956375106	1708956376177	1069	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956375361	1708956376320	OK	 
GROUP	Audio Get Preview	1708956375360	1708956376321	959	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956374828	1708956376395	OK	 
GROUP	Audio Get Preview	1708956374826	1708956376396	1567	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956375217	1708956376458	OK	 
GROUP	Audio Get Preview	1708956375216	1708956376458	1241	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956375509	1708956376487	OK	 
GROUP	Audio Get Preview	1708956375508	1708956376487	978	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956375951	1708956376902	OK	 
GROUP	Audio Get Preview	1708956375950	1708956376903	951	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956376058	1708956376953	OK	 
GROUP	Audio Get Preview	1708956376057	1708956376953	895	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956376459	1708956377178	OK	 
GROUP	Audio Get Preview	1708956376458	1708956377179	719	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956376177	1708956377180	OK	 
GROUP	Audio Get Preview	1708956376177	1708956377180	1003	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956376488	1708956377322	OK	 
GROUP	Audio Get Preview	1708956376488	1708956377322	834	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956376323	1708956377375	OK	 
GROUP	Audio Get Preview	1708956376322	1708956377376	1052	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708956376904	1708956377673	OK	 
