"hea_id","cas_id","ctr_id","courthouse_name","courtroom_name"
964518,962037,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
717164,713842,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715064,713099,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715087,713025,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
1171205,1134824,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716214,713577,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716913,714630,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
964408,962803,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715212,713056,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715254,712440,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
965484,963816,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715328,712936,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
1173070,1136889,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715421,713005,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
966135,962816,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
1051581,1050057,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715470,712490,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
965700,964129,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
966173,964084,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
967139,964880,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
717101,714656,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716949,713575,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
966977,965312,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
966546,964762,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
967187,965980,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
715853,712953,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
966200,962822,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
967870,965106,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
966798,964992,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
965985,964402,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
721130,718293,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
720145,716986,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716272,713932,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
718691,715081,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
721753,718326,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
719362,716258,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
966990,964567,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
720614,717803,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
967203,965572,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
721024,718792,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
721623,719099,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716618,714751,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
721183,718687,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
967835,966092,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716803,714990,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
1171910,1135065,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716825,714023,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
716935,714293,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
723030,719794,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
1051774,1049945,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
968180,966318,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
717448,716029,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
720552,716687,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
720450,717296,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
720468,718669,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
721882,719184,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
717694,714200,30029,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_qsfitpdskjg"
