RUN	DartsSoap.AddDocumentSOAPTokenSimulation	adddocumentsoaptokensimulation	1709198864987	14	3.9.5
USER	DARTS - GateWay - Soap - AddDocument:POST	START	1709198866017
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709198866035	1709198868689	OK	 
GROUP	Register With Username SOAP Request Group	1709198866017	1709198868714	2654	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198868723	1709198869057	OK	 
GROUP	AddDocument SOAP Request Group	1709198868715	1709198869284	334	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198869285	1709198869442	OK	 
GROUP	AddDocument SOAP Request Group	1709198869284	1709198869445	157	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198869446	1709198869726	OK	 
GROUP	AddDocument SOAP Request Group	1709198869445	1709198869729	280	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198869731	1709198870030	OK	 
GROUP	AddDocument SOAP Request Group	1709198869729	1709198870032	299	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198870033	1709198870181	OK	 
GROUP	AddDocument SOAP Request Group	1709198870032	1709198870182	148	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198870183	1709198870355	OK	 
GROUP	AddDocument SOAP Request Group	1709198870182	1709198870358	172	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198870360	1709198870521	OK	 
GROUP	AddDocument SOAP Request Group	1709198870358	1709198870523	161	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198870525	1709198870687	OK	 
GROUP	AddDocument SOAP Request Group	1709198870524	1709198870690	162	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198870692	1709198870851	OK	 
GROUP	AddDocument SOAP Request Group	1709198870691	1709198870852	159	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709198870853	1709198871023	OK	 
GROUP	AddDocument SOAP Request Group	1709198870852	1709198871024	170	OK
USER	DARTS - GateWay - Soap - AddDocument:POST	END	1709198871027
