RUN	DartsApi.AudioRequestSimulation	audiorequestsimulation	1708077127473	2	3.9.5
USER	Test1	START	1708077128026
REQUEST	TestDARTS - Api - Token:GET	DARTS - Api - Token:GET	1708077128024	1708077128615	OK	 
GROUP	TestDARTS - Api - Token:GET	1708077128003	1708077128663	591	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077128674	1708077128897	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077128667	1708077128899	223	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077128900	1708077128962	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077128900	1708077128962	62	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077128963	1708077129010	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077128963	1708077129010	47	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077129011	1708077129071	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077129011	1708077129072	60	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077129072	1708077129137	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077129072	1708077129137	65	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077129138	1708077129201	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077129137	1708077129201	63	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077129202	1708077129275	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077129202	1708077129276	73	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077129277	1708077129317	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077129276	1708077129317	40	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077129318	1708077129393	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077129318	1708077129394	75	OK
REQUEST	Audio RequestDARTS - Api - AudioRequest:Post	DARTS - Api - AudioRequest:Post	1708077129394	1708077129445	OK	 
GROUP	Audio RequestDARTS - Api - AudioRequest:Post	1708077129394	1708077129446	51	OK
USER	Test1	END	1708077129449
