RUN	DartsApi.AudioRequestGetSimulation	audiorequestgetsimulation	1708335767251	1	3.9.5
USER	Audio Requests:POST	START	1708335767735
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708335767732	1708335768181	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708335767714	1708335768216	449	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768221	1708335768330	OK	 
GROUP	Audio Request Get	1708335768218	1708335768332	109	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768335	1708335768385	OK	 
GROUP	Audio Request Get	1708335768333	1708335768385	50	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768387	1708335768426	OK	 
GROUP	Audio Request Get	1708335768386	1708335768427	39	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768429	1708335768468	OK	 
GROUP	Audio Request Get	1708335768428	1708335768468	39	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768469	1708335768557	OK	 
GROUP	Audio Request Get	1708335768469	1708335768557	88	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768558	1708335768601	OK	 
GROUP	Audio Request Get	1708335768557	1708335768602	43	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768603	1708335768659	OK	 
GROUP	Audio Request Get	1708335768602	1708335768659	56	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768660	1708335768758	OK	 
GROUP	Audio Request Get	1708335768659	1708335768759	98	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768760	1708335768800	OK	 
GROUP	Audio Request Get	1708335768759	1708335768800	40	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335768801	1708335768831	OK	 
GROUP	Audio Request Get	1708335768801	1708335768831	30	OK
USER	Audio Requests:POST	END	1708335768834
